COSC 220-001,Applied Computer Programming,08:00 - 09:15am,T
COSC 300-002,Assembly Language Programing,08:00 - 09:15am,R
COSC 110-003,Problem Solving & Structured Programming,09:30 - 10:45am,T
COSC 105-002,Fundamentals of Computer Science,09:30 - 10:45am,R
COSC 110-004,Problem Solving & Structured Programming,11:00 - 12:15pm,T
COSC 319-W01,Software Engineering Concepts,11:00 - 12:15pm,R
COSC 110-005,Problem Solving & Structured Programming,12:30 - 01:45pm,T
COSC 427-001,Intro to Cryptography,12:30 - 01:45pm,R
COSC 110-006,Problem Solving & Structured Programming,02:00 - 03:15pm,T
COSC 300-001,Assembly Language Programing,02:00 - 03:15pm,R
COSC 405-001,Artificial Intelligence,08:00 - 08:50am,MW
COSC 356-001,Network Security,09:05 - 09:55am,MW
COSC 432-001,Intro to Operating Systems,10:10 - 11:00am,MW
COSC 310-001,Data Structures and Algorithms,10:10 - 11:00am,F
COSC 480-002,Seminar: Technical Topics,11:15 - 12:05pm,M
COSC 341-001,Intro to Database Mgmt Systems,11:15 - 12:05pm,F
COSC 110-007,Problem Solving & Structured Programming,12:20 - 01:10pm,MW
COSC 454-001,Information Assurance Administration,12:20 - 01:10pm,F
COSC 480-001,Seminar: Technical Topics,01:25 - 02:15pm,M
COSC 250-002,Intro to Numerical Methods,01:25 - 02:15pm,WF
COSC 380-001,Seminar on Comp Profession & Ethics,02:30 - 03:20pm,MW
COSC 310-002,Data Structures and Algorithms,02:30 - 03:20pm,F
